,count,mean,stddev,min,max,missing
popularity,30002.0,44.22,15.56,0.0,97.0,1.0
acousticness,30002.0,0.31,0.34,0.0,1.0,1.0
danceability,30002.0,0.56,0.18,0.06,0.98,1.0
duration_ms,30002.0,220503.48,126619.91,-1.0,4276000.0,1.0
energy,30002.0,0.6,0.27,0.0,1.0,1.0
instrumentalness,30002.0,0.18,0.33,0.0,0.99,1.0
liveness,30002.0,0.19,0.16,0.01,0.99,1.0
loudness,30002.0,-9.18,6.23,-47.05,3.74,1.0
speechiness,30002.0,0.09,0.1,0.02,0.94,1.0
tempo,27016.0,120.0,30.68,34.47,220.28,2987.0
valence,30002.0,0.46,0.25,0.0,0.99,1.0
